"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Record Reneging Movie1 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie1 Customers",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,1,1,1,1,0,0,0
"Record Reneging Movie2 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie2 Customers",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Record Reneging Movie3 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie3 Customers",0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"counter.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter",49,54,51,50,48,48,55,49,48,50,49,51,52,51,50,49,52,50,54,50,51,51,51,56,50,53,51,51,50,52
"counter.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter",0.408333333333333,0.45,0.428100072787443,0.416666666666667,0.4,0.408333333333333,0.491666666666667,0.408333333333333,0.4,0.433333333333333,0.433333333333333,0.425,0.45,0.425,0.416666666666667,0.408333333333333,0.433333333333333,0.416666666666667,0.458333333333333,0.416666666666667,0.422388548431622,0.45,0.425,0.475,0.433333333333333,0.45,0.441666666666667,0.425,0.416666666666667,0.45
"Moviegoer.NumberIn","OUTPUT VALUE","Number In","Entity","Moviegoer",62,76,62,72,62,67,75,78,65,65,65,69,69,69,73,70,82,63,75,66,59,79,74,88,58,71,66,80,71,76
"Moviegoer.NumberOut","OUTPUT VALUE","Number Out","Entity","Moviegoer",62,76,61,72,62,67,75,78,65,65,65,69,69,69,73,70,82,63,75,66,57,79,74,88,58,71,66,80,71,76
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",62,76,61,72,62,67,75,78,65,65,65,69,69,69,73,70,82,63,75,66,57,79,74,88,58,71,66,80,71,76
"counter.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","counter",0.408333333333333,0.45,0.428100072787443,0.416666666666667,0.4,0.408333333333333,0.491666666666667,0.408333333333333,0.4,0.433333333333333,0.433333333333333,0.425,0.45,0.425,0.416666666666667,0.408333333333333,0.433333333333333,0.416666666666667,0.458333333333333,0.416666666666667,0.422388548431622,0.45,0.425,0.475,0.433333333333333,0.45,0.441666666666667,0.425,0.416666666666667,0.45
"counter.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","counter",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
