"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Record Reneging Movie1 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie1 Customers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,3,0,1,1,1,0,0,1
"Record Reneging Movie2 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie2 Customers",0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0,1,0,0,3
"Record Reneging Movie3 Customers","COUNTER VALUE","Count","User Specified","Record Reneging Movie3 Customers",1,2,1,0,0,0,1,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,2
"counter1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter1",15,22,29,16,16,20,27,16,17,16,23,24,18,15,18,17,17,19,16,16,34,17,18,26,17,22,18,17,17,19
"counter1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter1",0.125,0.133333333333333,0.233333333333333,0.133333333333333,0.133333333333333,0.15,0.141666666666667,0.133333333333333,0.141666666666667,0.133333333333333,0.158333333333333,0.2,0.141666666666667,0.125,0.15,0.141666666666667,0.141666666666667,0.158333333333333,0.125,0.133333333333333,0.15,0.133333333333333,0.125,0.133333333333333,0.141666666666667,0.125,0.141666666666667,0.141666666666667,0.133333333333333,0.15
"counter2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter2",16,21,34,18,17,19,24,17,15,15,22,30,18,18,17,16,18,17,26,17,34,21,23,29,15,17,18,16,18,20
"counter2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter2",0.133333333333333,0.175,0.15,0.15,0.141666666666667,0.141666666666667,0.191666666666667,0.141666666666667,0.125,0.125,0.133333333333333,0.125,0.15,0.15,0.133333333333333,0.133333333333333,0.15,0.141666666666667,0.166666666666667,0.141666666666667,0.141666666666667,0.133333333333333,0.15,0.125,0.125,0.125,0.15,0.133333333333333,0.141666666666667,0.166666666666667
"counter3.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","counter3",18,19,32,16,15,18,30,16,16,21,22,26,19,18,18,16,17,17,18,17,26,22,20,31,20,20,18,18,17,18
"counter3.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","counter3",0.15,0.141666666666667,0.15,0.133333333333333,0.125,0.141666666666667,0.15,0.133333333333333,0.133333333333333,0.175,0.175,0.141666666666667,0.15,0.15,0.133333333333333,0.133333333333333,0.141666666666667,0.141666666666667,0.15,0.141666666666667,0.216666666666667,0.175,0.166666666666667,0.258333333333333,0.166666666666667,0.166666666666667,0.15,0.15,0.141666666666667,0.141666666666667
"Moviegoer.NumberIn","OUTPUT VALUE","Number In","Entity","Moviegoer",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
